gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,category
GeForce RTX 3080 Ti,26887,1031,1199.99,22.41,350.0,76.82,2021,Desktop
GeForce RTX 3090,26395,999,1749.99,15.08,350.0,75.41,2020,Desktop
Radeon RX 6900 XT,25458,1102,1120.31,22.72,300.0,84.86,2020,Desktop
GeForce RTX 3080,24853,1003,999.0,24.88,320.0,77.66,2020,Desktop
GeForce RTX 3070 Ti,23367,1003,749.99,31.16,290.0,80.58,2021,Desktop
Radeon RX 6800 XT,23364,1078,859.0,27.2,300.0,77.88,2020,Desktop
GeForce RTX 3070,22093,969,719.99,30.69,220.0,100.42,2020,Desktop
GeForce RTX 2080 Ti,21796,940,998.59,21.83,250.0,87.18,2018,Desktop
Radeon RX 6800,20667,1030,758.99,27.23,250.0,82.67,2020,Desktop
GeForce RTX 3060 Ti,20206,961,599.99,33.68,200.0,101.03,2020,Desktop
GeForce RTX 2080 SUPER,19519,934,683.99,28.54,250.0,78.08,2019,Desktop
Radeon RX 6700 XT,18993,1014,529.99,35.84,230.0,82.58,2021,Desktop
TITAN V,18816,845,1999.99,9.41,250.0,75.26,2017,Desktop
GeForce RTX 2080,18732,917,633.03,29.59,250.0,74.93,2018,Desktop
GeForce GTX 1080 Ti,18284,934,604.15,30.26,250.0,73.14,2017,Desktop
NVIDIA TITAN Xp,18280,812,1645.0,11.11,250.0,73.12,2017,Desktop
GeForce RTX 2070 SUPER,18168,896,613.8,29.6,215.0,84.5,2019,Desktop
GeForce RTX 3060,16958,951,329.0,51.55,170.0,99.76,2021,Desktop
Radeon RX 5700 XT,16892,955,694.94,24.31,225.0,75.08,2019,Desktop
Radeon VII,16767,788,1899.95,8.82,300.0,55.89,2019,Desktop
GeForce RTX 2060 SUPER,16514,881,528.89,31.22,175.0,94.37,2019,Desktop
GeForce RTX 2070,16079,833,627.44,25.63,175.0,91.88,2018,Desktop
Radeon RX 6600 XT,15853,1003,399.99,39.63,160.0,99.08,2021,Desktop
Radeon Pro W5700,15085,908,1649.99,9.14,205.0,73.59,2020,Desktop
Radeon RX 5700,14729,926,899.95,16.37,180.0,81.83,2019,Desktop
Radeon RX Vega 64,14636,810,799.99,18.3,295.0,49.62,2017,Desktop
GeForce GTX 1070 Ti,14500,877,389.0,37.28,180.0,80.56,2017,Desktop
Radeon Pro WX 8200,14110,824,1599.39,8.82,230.0,61.35,2018,Desktop
GeForce RTX 2060,13953,752,389.99,35.78,160.0,87.2,2019,Desktop
Radeon RX 5600 XT,13836,914,545.0,25.39,150.0,92.24,2020,Desktop
Radeon Vega Frontier Edition,13748,753,1679.99,8.18,350.0,39.28,2017,Desktop
Radeon RX Vega 56,13636,784,752.99,18.11,210.0,64.93,2017,Desktop
GeForce GTX 1660 SUPER,12732,823,329.99,38.58,125.0,101.85,2019,Desktop
GeForce GTX 1660 Ti,11794,702,349.99,33.7,120.0,98.29,2019,Desktop
GeForce GTX 1660,11695,796,399.99,29.24,120.0,97.46,2019,Desktop
GeForce GTX 1650 SUPER,10032,761,441.05,22.75,100.0,100.32,2019,Desktop
Radeon RX 590,9665,810,549.99,17.57,175.0,55.23,2018,Desktop
Radeon Pro W5500,9269,896,480.99,19.27,125.0,74.15,2020,Desktop
Radeon RX 5500 XT,9188,824,449.0,20.46,130.0,70.68,2019,Desktop
Radeon RX 580,8907,772,349.0,25.52,185.0,48.14,2017,Desktop
GeForce GTX 1060 5GB,8704,680,487.99,17.84,120.0,72.54,2018,Desktop
GeForce GTX 1650,7807,592,209.0,37.35,75.0,104.09,2019,Desktop
Radeon Pro WX 4100,3766,690,499.99,7.53,50.0,75.32,2017,Desktop
Radeon RX 560,3594,506,225.91,15.91,80.0,44.92,2017,Desktop
Radeon RX 550,2718,484,157.74,17.23,50.0,54.35,2017,Desktop
GeForce GT 1030,2545,449,109.99,23.13,30.0,84.82,2017,Desktop
Radeon RX 570X,1923,750,279.99,6.87,120.0,16.03,2020,Desktop
Radeon R5 330,513,200,339.99,1.51,30.0,17.12,2017,Desktop
